,n_epochs,batch_size,h,w,lr,optimizer,momentum,device,n_gpus,kernel_size,flatten,model,num_blocks_list,is_batchnorm,total_parameters,40X,100X,200X,400X,avg_acc,all_acc,log_name,weight_decay,h_dim_list,use_pooling,num_kernel_conv_list
71,20,32,224,224,0.0001,sgd,0.9,cuda:0,1,,,MLP,,,12052037,83.21,78.37,88.09,85.16,83.71,83.63,MLP_epoch20_lr0.0001_2023-12-04_00-05-48.log,5e-05,"[80, 50, 50, 40, 25]",,
72,20,32,224,224,0.001,adam,0.9,cuda:0,1,,,MLP,,,12052037,82.46,79.09,88.59,83.79,83.48,83.44,MLP_epoch20_lr0.001_2023-12-03_21-07-20.log,0.001,"[80, 50, 50, 40, 25]",,
73,20,32,224,224,0.0001,adam,0.9,cuda:0,1,,,MLP,,,12048492,80.95,80.29,88.34,83.24,83.2,83.19,MLP_epoch20_lr0.0001_2023-12-04_00-02-42.log,5e-05,"[80, 50, 40]",,
74,20,32,224,224,0.0001,sgd,0.9,cuda:0,1,,,MLP,,,12052037,82.21,79.81,88.34,82.42,83.2,83.19,MLP_epoch20_lr0.0001_2023-12-03_22-18-42.log,0.001,"[80, 50, 50, 40, 25]",,
75,20,32,224,224,0.0001,adam,0.9,cuda:0,1,,,MLP,,,12052037,82.96,80.53,87.1,81.87,83.12,83.12,MLP_epoch20_lr0.0001_2023-12-03_21-28-15.log,0.0,"[80, 50, 50, 40, 25]",,
76,20,32,224,224,0.0001,adam,0.9,cuda:0,1,,,MLP,,,12052037,82.21,79.81,87.84,82.14,83.0,83.0,MLP_epoch20_lr0.0001_2023-12-03_21-54-18.log,0.001,"[80, 50, 50, 40, 25]",,
77,10,32,224,224,1e-05,sgd,0.9,cuda:1,1,3.0,,CNN,,,457730,81.2,76.68,87.84,85.16,82.72,82.62,CNN_epoch10_lr1e-05_2023-12-04_02-03-51.log,0.0,,True,"[32, 64, 64]"
78,20,32,224,224,1e-05,sgd,0.9,cuda:0,1,,,MLP,,,12052037,81.7,78.12,88.59,82.42,82.71,82.68,MLP_epoch20_lr1e-05_2023-12-04_02-48-00.log,5e-05,"[80, 50, 50, 40, 25]",,
79,20,32,224,224,0.0001,adam,0.9,cuda:0,1,,,MLP,,,12048492,81.95,78.85,89.08,79.67,82.39,82.43,MLP_epoch20_lr0.0001_2023-12-03_21-26-58.log,0.0,"[80, 50, 40]",,
80,10,32,224,224,0.001,adam,0.9,cuda,2,3.0,False,resnet,"[3, 4, 6, 3]",False,21260994,79.7,81.25,86.6,81.04,82.15,82.17,v2_resnet_epoch10_lr0.001_2023-12-03_13-00-37.log,,,,
81,20,32,224,224,0.001,adam,0.9,cuda:0,1,,,MLP,,,12048492,80.45,78.61,86.1,81.04,81.55,81.54,MLP_epoch20_lr0.001_2023-12-03_20-46-32.log,0.0,"[80, 50, 40]",,
82,20,32,224,224,1e-05,sgd,0.9,cuda:0,1,,,MLP,,,12048492,79.7,77.4,87.1,81.32,81.38,81.35,MLP_epoch20_lr1e-05_2023-12-04_09-41-04.log,5e-05,"[80, 50, 40]",,
83,30,32,224,224,1e-05,sgd,0.9,cuda:0,1,,,MLP,,,12048492,80.2,76.2,86.6,82.14,81.28,81.23,MLP_epoch30_lr1e-05_2023-12-04_18-10-49.log,5e-05,"[80, 50, 40]",,
84,20,32,224,224,0.0001,adam,0.9,cuda:0,1,,,MLP,,,12048492,80.7,79.81,84.86,79.67,81.26,81.29,MLP_epoch20_lr0.0001_2023-12-03_21-52-25.log,0.001,"[80, 50, 40]",,
85,20,32,224,224,0.001,adam,0.9,cuda:0,1,,,MLP,,,12052037,81.2,76.2,87.1,78.85,80.84,80.85,MLP_epoch20_lr0.001_2023-12-03_20-47-43.log,0.0,"[80, 50, 50, 40, 25]",,
